问题,年份,公司,鑫鑫关键词,包关键词
交控科技股份有限公司2019年营业外支出和营业外收入分别是多少元?,2019,688015,营业外|支出|营业外收入,营业外支出和营业外收入|营业外支出|营业外收入
根据万孚生物2020年的年报，请简要介绍报告期内公司的环境信息情况。,2020,300482,环境信息情况,环境信息情况
TCL中环新能源科技股份有限公司2019年三费比重是多少?保留2位小数。,2019,002129,三费比重,三费比重
成都秦川物联网科技股份有限公司2019年研发费用和财务费用分别是多少元?,2019,688528,研发|费用|财务费用,财务费用|研发费用和财务费用|研发费用
2020年山东南山智尚科技股份有限公司年报数据中，研发费用是多少元?,2020,300918,数据|研发|费用,研发费用
盾安环境2019年的投资收益占营业收入的比率是多少，保留两位小数。,2019,002011,投资收益|占|营业收入|比率,投资收益占营业收入的比率
我想知道深圳市兆新能源股份有限公司在2020年的非流动负债比率是多少，结果需要保留两位小数。,2020,002256,想|知道|流动|负债比率|需要,非流动负债比率
2021年富安娜总负债增长率是多少?保留2位小数。,2021,002327,总负债增长率,总负债增长率
必得科技2021年营业收入增长率是多少?保留2位小数。,2021,605298,营业收入增长率,营业收入增长率
四川长虹电器股份有限公司2019年博士及以上人数是什么?,2019,600839,博士|人数,博士及以上人数
2021年福州达华智能科技股份有限公司的其他非流动金融资产是多少元？,2021,002512,流动金融资产,其他非流动金融资产
海尔生物在2019年的员工总数是多少？,2019,688139,员工总数,员工总数
北京燕京啤酒股份有限公司在2020年的财务费用增长率是多少？结果请保留两位小数。,2020,000729,财务费用增长率,财务费用增长率
2020年今世缘研发费用是多少元?,2020,603369,研发|费用,研发费用
在2020年，广大特材的营业收入和营业外收入分别是多少元?,2020,688186,营业收入|营业外收入,营业收入和营业外收入|营业收入|营业外收入
北京科蓝软件系统股份有限公司2021年的无形资产是多少元？,2021,300663,无形|资产,无形资产
粤高速2019年毛利率是多少?保留2位小数。,2019,200429,毛利率,毛利率
大秦铁路公司在2021年的货币资金增长率是多少？请保留两位小数。,2021,601006,货币资金增长率,货币资金增长率
2020年立方制药营业外支出是多少元?,2020,003020,营业外|支出,营业外支出
2020年东江环保股份有限公司对联营企业和合营企业的投资收益是多少元？,2020,002672,联营企业|合营企业|投资收益,投资收益
请问，2021年蜀道装备的总资产增长率是多少?请保留2位小数。,2021,300540,请问|总|资产增长率,总资产增长率
什么是资本预算？如何进行资本预算决策？,,,,
2020年深圳能源集团股份有限公司综合收益总额是多少元?,2020,000027,综合收益总额,综合收益总额
存货周转率的变动如何反映公司的供应链效率和库存管理水平？,,,,
2019年中炬高新技术实业(集团)股份有限公司研发费用和财务费用分别是多少元?,2019,600872,研发|费用|财务费用,财务费用|研发费用和财务费用|研发费用
海螺新材在2019年的企业研发经费与利润之比是多少？请保留两位小数。,2019,000619,企业|研发|经费|利润,企业研发经费|企业研发经费与利润之比|利润之比
2020年宁波杉杉股份有限公司销售费用增长率为多少?保留2位小数。,2020,600884,销售费用增长率,销售费用增长率
请问，天津七一二通信广播股份有限公司2020年营业收入和营业外收入分别是多少元?,2020,603712,请问|营业收入|营业外收入,营业收入和营业外收入|营业收入|营业外收入
广汽集团2021年利息支出和利息收入分别是多少元?,2021,601238,利息支出|利息收入,利息收入|利息支出|利息支出和利息收入
什么是销售净利率？,,,,
厦门港务发展股份有限公司2019年固定资产和无形资产分别是多少元?,2019,000905,固定资产|无形|资产,固定资产|固定资产和无形资产|无形资产
在2020年，石家庄常山北明科技股份有限公司的流动负债比率是多少?请保留2位小数。,2020,000158,流动|负债比率,流动负债比率
北京盛通印刷股份有限公司2020年的综合收益总额是多少元？,2020,002599,综合收益总额,综合收益总额
拓邦股份2019年注册地址是什么?,2019,002139,注册地址,注册地址
请问，2021年徐工集团工程机械股份有限公司的衍生金融资产和其他非流动金融资产分别是多少元?,2021,000425,请问|衍生金融资产|流动金融资产,衍生金融资产和其他非流动金融资产|其他非流动金融资产|衍生金融资产
中视传媒股份有限公司在2019年的电子邮箱地址是什么？,2019,600088,电子邮箱地址,电子邮箱地址
回盛生物在2020年的管理费用是多少元?,2020,300871,管理费用,管理费用
光智科技2020年非流动负债比率是多少?保留2位小数。,2020,300489,流动|负债比率,非流动负债比率
锦泓时装集团股份有限公司2021年总负债增长率是多少?保留2位小数。,2021,603518,总负债增长率,总负债增长率
请提供广东通宇通讯股份有限公司2021年的收回投资所得现金金额。,2021,002792,收回|投资|现金金额,收回投资
苏州春兴精工股份有限公司2021年固定资产是多少元?,2021,002547,固定资产,固定资产
综合收益总额与归属于母公司所有者的综合收益总额之间的关系是什么？,,,,
请问，2019年广东汕头超声电子股份有限公司研发人员数是多少?,2019,000823,请问|研发人员数,研发人员数
云南罗平锌电股份有限公司在2019年的证券简称是什么?,2019,002114,证券|简称,证券简称
科达利2019年的企业研发经费与利润比值是多少?保留2位小数。,2019,002850,企业|研发|经费|利润|比值,企业研发经费|利润|企业研发经费与利润比值
中核钛白2019年公司网址是什么?,2019,002145,网址,公司网址
2021年深圳市捷顺科技实业股份有限公司资产总计是多少元?,2021,002609,资产|总计,资产总计
沪宁股份2019年的研发人员占职工人数比例是多少?保留2位小数。,2019,300669,研发|人员|占职工人数比例,研发人员|职工人数比例|研发人员占职工人数比例
中信泰富特钢集团股份有限公司在2019年的营业成本率是多少，保留两位小数。,2019,000708,营业成本率,营业成本率
江苏富淼科技股份有限公司在2021年的营业利润增长率是多少，需要保留至小数点后两位？,2021,688350,营业利润增长率|需要,营业利润增长率
四创电子股份有限公司2020年净利润率是多少?保留2位小数。,2020,600990,净利润率,净利润率
什么是应付账款周转天数？,,,,
2020年苏美达股份有限公司流动负债比率为多少?保留2位小数。,2020,600710,流动|负债比率,流动负债比率
什么是应付职工薪酬？,,,,
北京数字认证股份有限公司在2019年的管理费用率是多少，结果请保留两位小数？,2019,300579,管理费用率,管理费用率
重要会计政策和会计估计的变更是什么？,,,,
泰瑞机器股份有限公司在2019年的财务费用是多少元？,2019,603289,财务费用,财务费用
请提供2021年读客文化股份有限公司的净利润增长率，保留两位小数。,2021,301025,净利润增长率,净利润增长率
2020年东宝生物营业税金及附加是多少元?,2020,300239,营业税金|附加,营业税金及附加
请问，苏交科在2020年的速动比率是多少?保留2位小数。,2020,300284,请问|速动比率,速动比率
如何分析营业收入的变动趋势？,,,,
2020年大恒科技营业税金及附加是多少元?,2020,600288,营业税金|附加,营业税金及附加
太和水在2020年的营业外支出是多少元？,2020,605081,营业外|支出,营业外支出
金麒麟2020年的营业外支出是多少元？,2020,603586,营业外|支出,营业外支出
在2021年，杭州纵横通信股份有限公司的固定资产增长率为多少，结果请保留2位小数?,2021,603602,固定资产|增长率,固定资产增长率
南京纺织品进出口股份有限公司2021年的现金及现金等价物增长率是多少？请保留两位小数。,2021,600250,现金|现金等价物增长率,现金及现金等价物增长率
2021年西安曲江文化旅游股份有限公司年报数据中，无形资产是多少元?,2021,600706,数据|无形|资产,无形资产
武汉海特生物制药股份有限公司在2021年的资产总计是多少元?,2021,300683,资产|总计,资产总计
重庆华森制药股份有限公司2021年营业利润是多少元?,2021,002907,营业利润,营业利润
请提供2021年美的集团股份有限公司的衍生金融资产和其他非流动金融资产，单位为元。,2021,000333,衍生金融资产|流动金融资产,衍生金融资产和其他非流动金融资产|其他非流动金融资产|衍生金融资产
协鑫能科2020年营业外收入是多少元?,2020,002015,营业外收入,营业外收入
2021年正业科技归属母公司所有者的净利润是多少元?,2021,300410,归属母公司所有者|净利润,归属母公司所有者的净利润
请根据创业慧康2020年的年报，给我简要介绍一下报告期内公司的社会责任工作情况？,2020,300451,社会责任|工作情况,年报
北京高能时代环境技术股份有限公司2020年营业外收入是多少元?,2020,603588,营业外收入,营业外收入
请提供天津瑞普生物技术股份有限公司2020年的营业收入和营业外收入分别是多少元？,2020,300119,营业收入|营业外收入,营业收入和营业外收入|营业收入|营业外收入
在2019年度报告中，梅花生物的硕士人数是多少?,2019,600873,,硕士人数
明牌珠宝在2021年收回投资所收到的现金是多少元？,2021,002574,收回投资|收到|现金,收回投资所收到的现金
佳华科技在2019年的企业名称是什么？,2019,688051,企业名称,企业名称
2020年老凤祥财务费用增长率是多少?保留2位小数。,2020,900905,财务费用增长率,财务费用增长率
道恩股份2021年的每股收益和每股净资产分别是多少元?,2021,002838,每股|收益|每股|净资产,每股收益|每股净资产|每股收益和每股净资产
2020年嘉亨家化营业成本和营业利润分别是多少元?,2020,300955,营业成本|营业利润,营业成本和营业利润|营业成本|营业利润
2021年美的集团股份有限公司的总资产增长率是多少？保留两位小数。,2021,000333,总|资产增长率,总资产增长率
2021年国民技术每股经营现金流量是多少元?,2021,300077,每股|经营现金流量,每股经营现金流量
华新包装在2020年有多少名博士及以上学历的员工?,2020,200986,名|博士|学历|员工,博士及以上学历的员工数量
什么是应付账款周转率？,,,,
请简要分析哈尔滨秋林集团股份有限公司2019年聘任、解聘会计师事务的情况。,2019,600891,聘任|解聘会计师事务|情况,聘任、解聘会计师事务的情况|聘任|解聘会计师事务的情况
2020年博杰股份的资产负债比率是多少？保留两位小数。,2020,002975,资产|负债比率,资产负债比率
聆达集团股份有限公司2020年的博士及以上人数是多少？,2020,300125,博士|人数,博士及以上人数
请提供金牛化工2019年的营业成本率，保留两位小数。,2019,600722,营业成本率,营业成本率
九牧王2021年的货币资金是多少元?,2021,601566,货币资金,货币资金
请提供浙江众成2021年的总负债增长率，保留两位小数。,2021,002522,总负债增长率,总负债增长率
请简要分析浙江米奥兰特商务会展股份有限公司2019年公司地位的情况。,2019,300795,地位|情况,公司地位
根据2019年的年报，东方智造的研发费用和财务费用分别是多少元?,2019,002175,研发|费用|财务费用,财务费用|研发费用和财务费用|研发费用
国投资本股份有限公司2019年的财务费用率是多少？请保留两位小数。,2019,600061,财务费用率,财务费用率
2019年江苏日久光电股份有限公司证券代码是什么?,2019,003015,证券代码,证券代码
固定资产的折旧政策如何影响公司的财务状况和税务成本？,,,,
浙江莎普爱思药业股份有限公司2020年流动负债比率是多少?保留2位小数。,2020,603168,流动|负债比率,流动负债比率
湖南天雁在2020年的现金比率是多少？请给出具体数字并保留2位小数。,2020,900946,现金比率|出|具体|数字,现金比率
宁波水表(集团)股份有限公司2019年公司网址是什么?,2019,603700,网址,公司网址
贤丰控股在2020年的营业收入是多少元？,2020,002141,营业收入,营业收入
2019年中公教育科技股份有限公司证券简称是什么?,2019,002607,证券|简称,证券简称
三川智慧科技股份有限公司在2019年的技术人员数量是多少？,2019,300066,技术人员数量,技术人员数量
在2020年，英唐智控的销售费用增长率是多少?请保留2位小数。,2020,300131,销售费用增长率,销售费用增长率
2019年每日互动企业研发经费与营业收入比值是多少?保留2位小数。,2019,300766,企业|研发|经费|营业收入比值,企业研发经费|企业研发经费与营业收入比值|营业收入
请简要分析中铁高新工业股份有限公司2019年聘任、解聘会计师事务的情况。,2019,600528,聘任|解聘会计师事务|情况,会计师事务的聘任和解聘|解聘|会计师事务的聘任
2020年克劳斯玛菲股份有限公司的非流动负债比率是多少？请保留两位小数。,2020,600579,流动|负债比率,非流动负债比率
请告诉我茂业商业股份有限公司2019年的管理费用率，要求精确到小数点后两位。,2019,600828,告诉|管理费用率|要求|精确,管理费用率
请问，中信国安信息产业股份有限公司在2021年的投资收益增长率是多少？结果请保留两位小数。,2021,000839,请问|投资收益增长率,投资收益增长率
根据2019年的年报数据，金陵药业的法定代表人是什么?,2019,000919,数据|法定|代表人,法定代表人
中国农业银行股份有限公司2021年利息支出和利息收入分别是多少元?,2021,601288,利息支出|利息收入,利息收入|利息支出|利息支出和利息收入
湖北凯龙化工集团股份有限公司在2021年的无形资产是多少元？,2021,002783,无形|资产,无形资产
国家电投集团产融控股股份有限公司在2020年的利息支出是多少元?,2020,000958,利息支出,利息支出
安洁科技2020年对联营企业和合营企业的投资收益是多少元?,2020,002635,联营企业|合营企业|投资收益,投资收益
2019年建投能源的固定资产和无形资产分别是多少元？,2019,000600,固定资产|无形|资产,固定资产|固定资产和无形资产|无形资产
2021年浙江锦盛新材料股份有限公司的资产总计是多少元?,2021,300849,资产|总计,资产总计
请问，根据宇信科技2019年的年报，在第一节重要提示、目录和释义中，都提及了哪些公司可能存在的风险？,2019,300674,请问|第一|节|重要|提示|目录|释义|提及|可能|存在|风险,公司可能存在的风险
华鼎股份2021年营业收入增长率是多少?保留2位小数。,2021,601113,营业收入增长率,营业收入增长率
请问2020年海南椰岛(集团)股份有限公司的投资收益是多少元?,2020,600238,请问|投资收益,投资收益
什么是生物资产？,,,,
2020年立方数科股份有限公司流动负债比率为多少?保留2位小数。,2020,300344,流动|负债比率,流动负债比率
请问，2021年航天机电的每股收益和每股净资产分别是多少元?,2021,600151,请问|每股|收益|每股|净资产,每股收益|每股净资产|每股收益和每股净资产
聚合顺2020年营业税金及附加是多少元?,2020,605166,营业税金|附加,营业税金及附加
冀东装备2019年的研发费用和财务费用分别是多少元？,2019,000856,研发|费用|财务费用,财务费用|研发费用和财务费用|研发费用
坚朗五金2020年的营业外收入是多少元？,2020,002791,营业外|收入,营业外收入
华闻传媒投资集团股份有限公司2019年的电子信箱是什么？,2019,000793,电子信箱,电子信箱
资产负债总额和净资产之间的关系是什么？,,,,
根据横店东磁2020年的年报，能否简要介绍公司报告期内主要销售客户的客户集中度以及与同行业情况的简要分析？,2020,002056,主要|销售客户|客户集中度|同行业|情况,同行业情况的简要分析|公司报告期内主要销售客户的集中度以及与同行业情况的简要分析|公司报告期内主要销售客户的集中度
与2019年相比，2020年珠海光库科技股份有限公司的法定代表人是否相同？,2019|2020,300620,相比|法定|代表人|是否|相同,法定代表人
根据2019年年报数据，中国电信股份有限公司的财务费用是多少元?,2019,601728,数据|财务费用,财务费用
2021年瑞茂通应付职工薪酬是多少元?,2021,600180,应付职工薪酬,应付职工薪酬
在2021年，中汽股份的销售费用和管理费用分别是多少元?,2021,301215,销售费用|管理费用,管理费用|销售费用|销售费用和管理费用
劲仔食品集团股份有限公司2021年每股收益和每股净资产分别是多少元?,2021,003000,每股|收益|每股|净资产,每股收益|每股净资产|每股收益和每股净资产
大名城2020年的流动负债比率是多少？请保留两位小数。,2020,900940,流动|负债比率,流动负债比率
银座股份2019年技术人员数是什么?,2019,600858,技术人员数,技术人员数
2019年东方电气股份有限公司利息收入是多少元?,2019,600875,利息收入,利息收入
桂林三金药业股份有限公司2020年财务费用增长率是多少?保留2位小数。,2020,002275,财务费用增长率,财务费用增长率
请提供2020年智飞生物的速动比率，保留两位小数。,2020,300122,速动比率,速动比率
热景生物2021年的其他非流动金融资产是多少元？,2021,688068,流动金融资产,其他非流动金融资产
浙江东亚药业股份有限公司2021年每股经营现金流量是多少元?,2021,605177,每股|经营现金流量,每股经营现金流量
运达股份2020年法定代表人对比2019年是否相同?,2020|2019,300772,法定|代表人|是否|相同,法定代表人
长期资产减值的含义是什么？,,,,
川环科技在2021年的应收款项融资有多少元?,2021,300547,应|收款项|融资,应收款项融资
中粮资本控股股份有限公司2021年利息支出和利息收入分别是多少元?,2021,002423,利息支出|利息收入,利息收入|利息支出|利息支出和利息收入
什么是现金流量表？,,,,
绝味食品股份有限公司在2020年的营业税金及附加总计为多少元?,2020,603517,营业税金|附加|总计,营业税金及附加
武进不锈2019年职工总数是什么?,2019,603878,职工总数,职工总数
孚日集团股份有限公司在2020年的综合收益总额是多少元?,2020,002083,综合收益总额,综合收益总额
2021年万方发展的现金及现金等价物增长率是多少，保留两位小数。,2021,000638,现金|现金等价物增长率,现金及现金等价物增长率
如何解释财务报表中的“商誉”？,,,,
2019年利扬芯片的营业成本率是多少？保留2位小数。,2019,688135,营业成本率,营业成本率
亿嘉和2019年硕士人数是什么?,2019,603666,硕士人数,硕士人数
东莞勤上光电股份有限公司在2021年的资产总计是多少元？,2021,002638,资产|总计,资产总计
北京万东医疗科技股份有限公司2021年资产总计是多少元?,2021,600055,资产|总计,资产总计
江苏亚威机床股份有限公司2021年每股经营现金流量是多少元?,2021,002559,每股|经营现金流量,每股经营现金流量
请问，广东东箭汽车科技股份有限公司在2021年的净利润增长率是多少，结果需保留至小数点后两位?,2021,300978,请问|净利润增长率|需,净利润增长率
净利润率的变动如何反映公司的盈利能力和经营效率的改善？,,,,
玲珑轮胎2019年研发人员占职工人数比例是多少?保留2位小数。,2019,601966,研发|人员|占职工人数比例,研发人员|职工人数比例|研发人员占职工人数比例
2021年蜀道装备营业利润是多少元?,2021,300540,营业利润,营业利润
在2019-2021年期间，金雷股份的法定代表人是否存在都相同的情况?,2019|2021,300443,期间|法定|代表人|是否|存在|相同|情况,法定代表人
请简要分析唐山三友化工股份有限公司2021年公司股权激励计划、员工持股计划或其他员工激励措施的情况及其影响,2021,600409,股权|激励计划|员工|持股计划|员工|激励措施|情况|影响,员工持股计划或其他员工激励措施的情况及其影响|公司股权激励计划、员工持股计划或其他员工激励措施的情况及其影响|公司股权激励计划
威尔药业2020年营业收入是多少元?,2020,603351,营业收入,营业收入
广州天赐高新材料股份有限公司在2020年的管理费用增长率是多少？请保留两位小数。,2020,002709,管理费用增长率,管理费用增长率
浙江芯能光伏科技股份有限公司2020年综合收益总额是多少元?,2020,603105,综合收益总额,综合收益总额
结合2021年上海同达创业投资股份有限公司的年报信息，请简要分析该公司主要销售客户及主要供应商情况。,2021,600647,结合|信息|主要|销售客户|主要|供应商情况,主要销售客户|主要供应商情况|主要销售客户和主要供应商情况
想知道2020年恒铭达的现金比率是多少，需要保留两位小数。,2020,002947,想|知道|现金比率|需要,现金比率
大立科技在2020年的现金比率是多少，精确到小数点后两位?,2020,002214,现金比率|精确,现金比率
2020年广弘控股流动比率是多少?保留2位小数。,2020,000529,流动比率,流动比率
2020年上海广电电气(集团)股份有限公司管理费用增长率为多少?保留2位小数。,2020,601616,管理费用增长率,管理费用增长率
请问在2021年，园林股份的应收款项融资总额是多少元?,2021,605303,请问|应|收款项|融资总额,应收款项融资总额
2021年视觉(中国)文化发展股份有限公司无形资产增长率为多少?保留2位小数。,2021,000681,无形|资产增长率,无形资产增长率
分众传媒在2020年的管理费用增长率是多少？请保留两位小数。,2020,002027,管理费用增长率,管理费用增长率
2020年中原内配财务费用增长率是多少?保留2位小数。,2020,002448,财务费用增长率,财务费用增长率
请问，恒源煤电在2020年的营业外收入是多少元？,2020,600971,请问|营业外|收入,营业外收入
北京恒华伟业科技股份有限公司在2020年的营业税金及附加是多少元？,2020,300365,营业税金|附加,营业税金及附加
上海移为通信技术股份有限公司在2020年的管理费用增长率是多少?请保留2位小数。,2020,300590,管理费用增长率,管理费用增长率
2019年青岛港外文名称是什么?,2019,601298,外文名称,外文名称
根据2021年科瑞技术的年报，其他非流动金融资产是多少元?,2021,002957,流动金融资产,其他非流动金融资产
楚天龙2021年营业利润增长率是多少?保留2位小数。,2021,003040,营业利润增长率,营业利润增长率
请问，2019年永清环保股份有限公司的注册地址是什么?,2019,300187,请问|注册地址,注册地址
2019年西部证券企业中，拥有硕士及以上学历的员工占职工总数的比例是多少？请保留两位小数。,2019,002673,企业|拥有硕士|学历|员工|占职工总数|比例,职工总数的比例|拥有硕士及以上学历的员工|拥有硕士及以上学历的员工占职工总数的比例
福建火炬电子科技股份有限公司2019年的证券简称是什么？,2019,603678,证券|简称,证券简称
2021年金浦钛业期末现金及现金等价物余额是多少元?,2021,,,期末现金及现金等价物余额
TCL中环新能源科技股份有限公司在2020年的利润总额和净利润分别是多少元?,2020,002129,利润总额|净利润,净利润|利润总额|利润总额和净利润
同一控制下和非同一控制下企业合并采用什么样的会计处理方法？,,,,
请提供2020年北京威卡威汽车零部件股份有限公司对联营企业和合营企业的投资收益，单位为元。,2020,002662,联营企业|合营企业|投资收益,投资收益
河南凯旺电子科技股份有限公司在2021年的营业成本是多少元？,2021,301182,营业成本,营业成本
在2019年，北京九强生物技术股份有限公司的营业成本和营业利润分别是多少元？,2019,300406,营业成本|营业利润,营业成本和营业利润|营业成本|营业利润
瑞玛精密在2019年的营业成本率保留到小数点后两位是多少？,2019,002976,营业成本率,营业成本率
科博达2020年资产负债比率是多少?保留2位小数。,2020,603786,资产|负债比率,资产负债比率
根据2020年楚天龙的年报，请简要介绍报告期内公司的营业成本和营业利润分别是多少元?,2020,003040,营业成本|营业利润,营业成本和营业利润|营业成本|营业利润
如何评估资本回报率的合理水平？,,,,
根据2021年的年报数据，新疆鑫泰天然气股份有限公司报告期内公司董事会会议议案的情况，请简要介绍。,2021,603393,数据|董事会会议议案|情况,董事会会议议案的情况
青海盐湖工业股份有限公司2021年的总资产增长率是多少？保留两位小数。,2021,000792,总|资产增长率,总资产增长率
光明房地产集团股份有限公司在2021年的总资产增长率为多少？请保留两位小数。,2021,600708,总|资产增长率,总资产增长率
2020年河南豫光金铅股份有限公司营业税金及附加是多少元?,2020,600531,营业税金|附加,营业税金及附加
山东航空在2019年的外文名称是什么？,2019,200152,外文名称,外文名称
请问，杭州中威电子股份有限公司在2021年的应收款项融资的金额是多少元?,2021,300270,请问|应|收款项|融资|金额,应收款项融资的金额
中远海发在2019年的财务费用率是多少？请保留至小数点后两位。,2019,601866,财务费用率,财务费用率
在2020年，新华医疗的硕士及以上人员占职工人数的比例是多少，保留两位小数?,2020,600587,硕士|人员|占职工人数|比例,硕士及以上人员|硕士及以上人员占职工人数的比例|职工人数的比例
2021年中国民生银行股份有限公司的利息支出和利息收入分别是多少元?,2021,600016,利息支出|利息收入,利息收入|利息支出|利息支出和利息收入
深圳新星2020年资产负债比率是多少?保留2位小数。,2020,603978,资产|负债比率,资产负债比率
交大思诺2019年营业成本率是多少?保留2位小数。,2019,300851,营业成本率,营业成本率
2021年南京高科股份有限公司营业利润是多少元?,2021,600064,营业利润,股份有限公司营业利润
2019年东莞控股固定资产和无形资产分别是多少元?,2019,000828,固定资产|无形|资产,固定资产|固定资产和无形资产|无形资产
中电电机2020年营业外收入是多少元?,2020,603988,营业外收入,营业外收入
京投发展在2019年的注册地址是什么？,2019,600683,注册地址,注册地址
航发科技2020年年报中营业利润率是多少?保留2位小数。,2020,600391,营业利润率,营业利润率
2020年福建龙溪轴承(集团)股份有限公司营业外收入是多少元?,2020,600592,营业|外|收入,营业外收入
2021年广东顺控发展股份有限公司营业利润增长率为多少?保留2位小数。,2021,003039,营业利润增长率,营业利润增长率
科拓生物在2019年的企业研发经费与利润的比值是多少？请保留两位小数。,2019,300858,企业|研发|经费|利润|比值,企业研发经费|利润|企业研发经费与利润的比值
2021年扬州海昌新材股份有限公司净利润增长率为多少?保留2位小数。,2021,300885,净利润增长率,净利润增长率
中航沈飞股份有限公司2020年对联营企业和合营企业的投资收益是多少元?,2020,600760,联营企业|合营企业|投资收益,股份有限公司对联营企业|股份有限公司对联营企业和合营企业的投资收益|合营企业的投资收益
在2021年，嘉凯城的总资产增长率是多少？请保留至小数点后两位。,2021,000918,总|资产增长率,总资产增长率
2020年绿能慧充公允价值变动收益是多少元?,2020,600212,公允|价值|变动收益,公允价值变动收益
2019年东方盛虹技术人员数是什么?,2019,000301,技术人员数,技术人员数
管理费用对公司的成本控制和资源配置有何影响？,,,,
2019年江苏澳洋健康产业股份有限公司营业利润率为多少?保留2位小数。,2019,002172,营业利润率,营业利润率
2019年上海锦江国际酒店股份有限公司的法定代表人是谁？,2019,900934,法定|代表人,法定代表人
安徽建工集团股份有限公司2020年的投资收益是多少元？,2020,600502,投资收益,投资收益
狮头股份2020年管理费用增长率是多少?保留2位小数。,2020,600539,管理费用增长率,管理费用增长率
2021年东莞宜安科技股份有限公司年报数据中，资产总计是多少元?,2021,300328,数据|资产|总计,资产总计
2021年紫天科技其他非流动金融资产是多少元?,2021,300280,流动金融资产,其他非流动金融资产
2021年中原证券年报数据中，利息支出和利息收入分别是多少元?,2021,601375,数据|利息支出|利息收入,利息收入|利息支出|利息支出和利息收入
弘讯科技在2021年的流动负债增长率是多少?请保留两位小数。,2021,603015,流动|负债增长率,流动负债增长率
好利科技在2021年的货币资金增长率是多少?保留2位小数。,2021,002729,货币资金增长率,货币资金增长率
请问，2020年杭州士兰微电子股份有限公司利润总额和净利润分别是多少元?,2020,600460,请问|利润总额|净利润,净利润|利润总额|利润总额和净利润
天润乳业在2020年的营业收入和营业外收入各为多少元?,2020,600419,营业收入|营业外收入,营业收入、营业外收入|营业收入|营业外收入
2019年万泽股份的企业名称是什么?,2019,000534,企业名称,企业名称
深圳市华盛昌科技实业股份有限公司2019年投资收益占营业收入比率是多少?保留2位小数。,2019,002980,投资收益|占|营业收入比率,营业收入比率|投资收益占营业收入比率|投资收益
请问，2020年集友股份的营业收入和营业外收入分别是多少元?,2020,603429,请问|营业收入|营业外收入,营业收入和营业外收入|营业收入|营业外收入
2019年上海华培动力科技(集团)股份有限公司办公地址是什么?,2019,603121,办公地址,办公地址
柳化股份在2021年的总资产增长率是多少?请保留两位小数。,2021,600423,总|资产增长率,总资产增长率
北京雪迪龙科技股份有限公司在2019年的外文名称是什么？,2019,002658,外文名称,外文名称
请问中信特钢在2019年的企业名称是什么？,2019,000708,请问|企业名称,企业名称
其他债权投资是指什么？,,,,
2020年蒙娜丽莎集团股份有限公司营业外支出是多少元?,2020,002918,营业外|支出,营业外支出
亚太科技2021年的总负债增长率是多少？请保留两位小数。,2021,002540,总负债增长率,总负债增长率
2021年达志科技每股经营现金流量是多少元?,2021,300530,每股|经营现金流量,每股经营现金流量
2019年深圳市特力(集团)股份有限公司办公地址是什么?,2019,200025,办公地址,办公地址
长华集团2021年货币资金是多少元?,2021,605018,货币资金,货币资金
2021年吉林华微电子股份有限公司收回投资收到的现金是多少元？,2021,600360,收回投资|收到|现金,收回投资
武汉凡谷电子技术股份有限公司2021年每股净资产是多少元?,2021,002194,每股|净资产,每股净资产
金花股份2021年资产总计是多少元?,2021,600080,资产|总计,资产总计
经纬纺织机械股份有限公司在2019年的固定资产和无形资产分别是多少元?,2019,000666,固定资产|无形|资产,固定资产|固定资产和无形资产|无形资产
存货的管理对公司的运营效率和盈利能力有何影响？,,,,
无锡和晶科技股份有限公司在2021年的每股经营现金流量是多少元?,2021,300279,每股|经营现金流量,每股经营现金流量
军信股份在2021年的每股净资产是多少元？,2021,301109,每股|净资产,每股净资产
宝光股份2019年办公地址是什么?,2019,600379,办公地址,办公地址
广州航新航空科技股份有限公司2021年研发费用增长率是多少?保留2位小数。,2021,300424,研发|费用增长率,研发费用增长率
河南神火煤电股份有限公司在2021年的无形资产增长率是多少？请保留两位小数。,2021,000933,无形|资产增长率,无形资产增长率
深圳莱宝高科技股份有限公司2019年公司网址是什么?,2019,002106,网址,公司网址
凤凰光学公司在2019年的官方网站是什么?,2019,600071,官方网站,官方网站
在2021年，保龄宝生物股份有限公司的衍生金融资产和其他非流动金融资产各是多少元？,2021,002286,衍生金融资产|流动金融资产,衍生金融资产和其他非流动金融资产|其他非流动金融资产|衍生金融资产
创业慧康科技股份有限公司2019年外文名称是什么?,2019,300451,外文名称,外文名称
2020年普元信息技术股份有限公司现金比率为多少?保留2位小数。,2020,688118,现金比率,现金比率
天迈科技2020年营业外收入是多少元?,2020,300807,营业外收入,营业外收入
中航工业产融控股股份有限公司2020年的资产负债比率是多少？保留2位小数。,2020,600705,资产|负债比率,资产负债比率
请简要分析台海玛努尔核电设备股份有限公司2021年的风险情况。,2021,002366,风险情况,风险情况
中科软2019年硕士人数是什么?,2019,603927,硕士人数,硕士人数
广东莱尔新材料科技股份有限公司在2021年的净利润增长率保留到小数点后两位是多少？,2021,688683,净利润增长率,净利润增长率
什么是速动比率？,,,,
2019年中信出版职工总数是什么?,2019,300788,职工总数,职工总数
江苏通达动力科技股份有限公司2020年流动比率是多少?保留2位小数。,2020,002576,流动比率,流动比率
梦网科技2021年总资产增长率是多少?保留2位小数。,2021,002123,总|资产增长率,总资产增长率
